"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist",
"btn139c-a1",2.9125,11196,2.8145,10438,"btn139c02_p_PTD",2.9125,11196,"btn139c03_a_PTD",13000,-0.21553,,,,,,,,,,,,,,
"btn142b-a1",6.3042,16454,6.3042,16454,"btn142b01_p_TOR",5.6047,15888,"btn142b02_a_PTD",16000,0.040366,,,,,,,,,,,,,,
"btn143b-a1",12.9167,17648,12.9167,17648,"btn143b01_p_PTD",3.0663,18277,"btn143b02_a_PTD",17000,0.05397,,,,,,,,,,,,,,
"mgc001c-a1",3.6258,1167,3.6258,1167,"mgc001c02_p_TOR",0.90566,5256,"mgc001c06_a_PTD",1000,0.2228,,,,,,,,,,,,,,
"mgc008b-b1",0.39662,626,0.39662,626,"mgc008b01_p_TOR",0.099643,1175,"mgc008b02_a_PTD",650,-0.054277,,,,,,,,,,,,,,
"mgc013a-a1",0.31146,1175,0.31146,1175,"mgc013a01_p_TOR",0.19831,1134,"mgc013a03_a_PTD",1100,0.095157,,,,,,,,,,,,,,
"mgc015a-a1",0.27872,600,0.27872,600,"mgc015a02_p_TOR",0.15539,621,"mgc015a03_a_PTD",600,0,,,,,,,,,,,,,,
"mgc015b-a1",0.28015,583,0.28015,583,"mgc015b01_p_TOR",0.26278,583,"mgc015b02_a_PTD",600,-0.041467,,,,,,,,,,,,,,
"mgc016d-b1",1.5093,12007,1.5093,12007,"mgc016d01_p_TOR",0.64492,13812,"mgc016d02_a_PTD",8000,0.5858,,,,,,,,,,,,,,
"mgc016e-b1",0.65568,1050,0.65568,1050,"mgc016e01_p_TOR",0.4609,946,"mgc016e03_a_PTD",750,0.48543,,,,,,,,,,,,,,
"mgc028b-b1",4.4696,12435,4.4696,12435,"mgc028b10_p_TOR",,,,,,,,,,,,,,2.0134,12435,"mgc028b02_a_PTD",13000,-0.064105,
"mgc031d-b1",3.0688,24184,3.0688,24184,"mgc031d01_p_TOR",0.47812,23352,"mgc031d02_a_PTD",24000,0.011018,,,,,,,,,,,,,,
"mgc037b-a1",0.27936,7725,0.27936,7725,"mgc037b02_p_TOR",0.17807,6955,"mgc037b03_a_PTD",600,3.6865,,,,,,,,,,,,,,
"mgc038a-b1",0.39776,9138,0.39776,9138,"mgc038a04_p_PTD",,,,,,,,,,,,,,0.2448,9138,"mgc038a02_a_PTD",12000,-0.39308,
"mgc049e-b1",2.1486,18277,2.1486,18277,"mgc049e01_p_TOR",0.65883,17648,"mgc049e02_a_PTD",23000,-0.3316,,,,,,,,,,,,,,
"mgc050b-b1",1.5483,22548,1.4883,23352,"mgc050b01_p_TOR",1.5483,22548,"mgc050b02_a_PTD",23000,-0.028634,,,,,,,,,,,,,,
"mgc052e-b1",1.0502,441,1.0502,441,"mgc052e01_p_TOR",0.36766,507,"mgc052e02_a_PTD",450,-0.029146,,,,,,,,,,,,,,
"mgc055a-a1",0.20071,357,0.20071,357,"mgc055a04_p_TOR",-0.022742,184,"mgc055a05_a_PTD",333,0.1004,,,,,,,,,,,,,,
