"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","ACTIVE_5_snr","ACTIVE_5_bf","ACTIVE_5","ACTIVE_5_tf","ACTIVE_5_tardist",
"bbl035c-a1",1.8038,15342,1.8038,15342,"bbl035c02_p_PTD",1.4419,22548,"bbl035c03_a_PTD",17000,-0.14805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl036e-a1",0.53788,1000,0.4109,10438,"bbl036e05_p_PTD",0.53788,1000,"bbl036e06_a_PTD",11000,-3.4594,0.47015,25045,"bbl036e09_p_PTD",0,10079,"bbl036e08_a_PTD",11000,-3.4594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl038d-a1",0.17725,397,0.064978,457,"bbl038d04_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1015,525,"bbl038d03_a_PTD",500,-0.33279,,,,,,
"bbl039d-a1",0.61441,24184,0.53956,24184,"bbl039d02_p_PTD",0.39563,23352,"bbl039d04_a_PTD",9500,1.3481,0.37674,23352,"bbl039d06_p_PTD",0.32374,12878,"bbl039d05_a_PTD",9500,1.3481,0.50517,23352,"bbl039d07_a_PTD",25000,-0.047875,0.36518,23352,"bbl039d09_p_PTD",,,,0.61441,24184,"bbl039d08_a_PTD",25000,-0.047875,,,,,,,,,,,,,,
"bbl039d-a2",3.2467,17041,2.419,7355,"bbl039d02_p_PTD",3.2467,17041,"bbl039d04_a_PTD",9500,0.84301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl041e-a1",1.0807,423,0.44361,575,"bbl041e02_p_PTD",0.74546,575,"bbl041e03_a_PTD",3000,-2.8262,0.55264,575,"bbl041e05_p_PTD",0.81653,575,"bbl041e04_a_PTD",3000,-2.8262,1.0807,423,"bbl041e07_a_PTD",600,-0.5043,0.57981,394,"bbl041e06_p_PTD",0.73786,423,"bbl041e09_p_PTD",0.17838,453,"bbl041e08_a_PTD",600,-0.5043,,,,,,,,,,,,,,
"bbl043b-a1",1.1601,473,0.86536,457,"bbl043b06_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,473,"bbl043b05_a_PTD",500,-0.080088,,,,,,
"bbl051a-a1",0.2057,165,0.19784,426,"bbl051a02_p_PTD",0.2057,165,"bbl051a03_a_PTD",300,-0.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl052c-a1",0.58495,4381,0.51442,4537,"bbl052c02_p_PTD",0.21767,4230,"bbl052c04_a_PTD",2800,0.64583,0.58495,4381,"bbl052c05_p_PTD",0.090203,3551,"bbl052c07_a_PTD",2800,0.64583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl053c-a1",0.14888,139,0.11171,695,"bbl053c02_p_PTD",0.13071,2057,"bbl053c03_a_PTD",350,-1.3323,0.036606,290,"bbl053c05_p_PTD",0.14888,139,"bbl053c04_a_PTD",350,-1.3323,-0.0079576,2057,"bbl053c07_a_PTD",350,-1.3323,,,,,,,,,,,,,,,,,,,,,,,,,
"bbl053c-a3",0.26198,125,0.25177,507,"bbl053c05_p_PTD",0.26198,125,"bbl053c07_a_PTD",350,-1.4854,0.25465,563,"bbl053c09_p_PTD",0.18554,134,"bbl053c08_a_PTD",350,-1.4854,,,,,,,,,,,,,,,,,,,,0.18536,129,"bbl053c04_a_PTD",350,-1.4854,,,,,,
"bbl053d-a1",1.2208,617,1.2208,617,"bbl053d02_p_PTD",0.1921,575,"bbl053d03_a_PTD",1300,-1.0752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
