"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4",
"TAR010c-19-1",0.73667,441,0.3533,441,"TAR010c04_p_PTD.m",0.73667,441,"TAR010c09_a_PTD.m",500,-0.18115,0.4387,441,"TAR010c10_p_PTD.m",0.60866,441,"TAR010c11_a_PTD.m",500,-0.18115,,,,,,,,,,,0.48914,426,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-19-2",0.14529,165,0.1035,197,"TAR010c10_p_PTD.m",0.14529,165,"TAR010c11_a_PTD.m",500,-1.5995,0.0566,280,"TAR010c12_p_PTD.m",,,,,,,,,,,0.072109,604,"TAR010c09_a_PTD.m",500,-1.5995,,,,,,,,,,,,,,,
"TAR010c-21-1",0.063211,243,0.053643,3601,"TAR010c10_p_PTD.m",-0.067733,695,"TAR010c11_a_PTD.m",500,-1.041,0.063211,243,"TAR010c12_p_PTD.m",,,,,,,,,,,0.0089311,3358,"TAR010c09_a_PTD.m",500,-1.041,,,,,,,,,,,,,,,
"TAR010c-21-2",-0.0010549,1217,-0.05262,3862,"TAR010c10_p_PTD.m",-0.0010549,1217,"TAR010c11_a_PTD.m",500,1.2833,-0.015204,2366,"TAR010c12_p_PTD.m",,,,,,,,,,,-0.023324,134,"TAR010c09_a_PTD.m",500,1.2833,,,,,,,,,,,,,,,
"TAR010c-22-1",0.23429,457,0.057325,426,"TAR010c10_p_PTD.m",0.20159,441,"TAR010c11_a_PTD.m",500,-0.12973,-0.16074,211,"TAR010c12_p_PTD.m",,,,,,,,,,,0.23429,457,"TAR010c09_a_PTD.m",500,-0.12973,,,,,,,,,,,,,,,
"TAR010c-24-1",0.079878,397,0.040361,1134,"TAR010c10_p_PTD.m",0.079878,397,"TAR010c11_a_PTD.m",500,-0.33279,0.022392,261,"TAR010c12_p_PTD.m",,,,,,,,,,,-0.01903,583,"TAR010c09_a_PTD.m",500,-0.33279,,,,,,,,,,,,,,,
"TAR010c-27-1",0.46907,457,0.36861,441,"TAR010c04_p_PTD.m",0.46907,457,"TAR010c09_a_PTD.m",500,-0.12973,0.35966,411,"TAR010c10_p_PTD.m",0.37401,411,"TAR010c11_a_PTD.m",500,-0.12973,,,,,,,,,,,0.13693,411,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-27-2",0.087307,490,-0.020426,457,"TAR010c04_p_PTD.m",0.087307,490,"TAR010c09_a_PTD.m",500,-0.029146,0.02751,1449,"TAR010c10_p_PTD.m",0.027281,154,"TAR010c11_a_PTD.m",500,-0.029146,,,,,,,,,,,-0.0025385,671,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-30-1",0.50451,411,0.23917,441,"TAR010c04_p_PTD.m",0.36541,473,"TAR010c09_a_PTD.m",500,-0.28279,0.21767,457,"TAR010c10_p_PTD.m",0.50451,411,"TAR010c11_a_PTD.m",500,-0.28279,,,,,,,,,,,0.033087,411,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-33-1",0.72668,441,0.63854,426,"TAR010c04_p_PTD.m",0.72668,441,"TAR010c09_a_PTD.m",500,-0.18115,0.3629,426,"TAR010c10_p_PTD.m",0.69241,411,"TAR010c11_a_PTD.m",500,-0.18115,,,,,,,,,,,0.17106,397,"TAR010c12_p_PTD.m",,,,,,,,,,,,
"TAR010c-33-2",0.067149,745,0.039679,3358,"TAR010c10_p_PTD.m",-0.0041326,2285,"TAR010c11_a_PTD.m",500,0.57531,0.067149,745,"TAR010c12_p_PTD.m",,,,,,,,,,,0.019742,1449,"TAR010c09_a_PTD.m",500,0.57531,,,,,,,,,,,,,,,
"TAR010c-35-1",0.42681,426,0.15493,411,"TAR010c10_p_PTD.m",0.42681,426,"TAR010c11_a_PTD.m",500,-0.23107,0.15461,3477,"TAR010c12_p_PTD.m",,,,,,,,,,,0.30723,441,"TAR010c09_a_PTD.m",500,-0.23107,,,,,,,,,,,,,,,
"TAR010c-38-1",0.18582,280,0.18582,280,"TAR010c10_p_PTD.m",0.1272,720,"TAR010c11_a_PTD.m",500,-0.8365,0.072457,671,"TAR010c12_p_PTD.m",,,,,,,,,,,0.1544,3023,"TAR010c09_a_PTD.m",500,-0.8365,,,,,,,,,,,,,,,
