,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
48,BRT026c-34-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,85.0,0.3783622890630253,0.01857712474594476,0.01351464029575294,1.018746145628104,baseline
49,BRT026c-34-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.009530405697373828,85.0,0.3783622890630253,0.01857712474594476,-0.03508764814306867,-0.18437125078490857,pupil
50,BRT026c-34-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0012891597828810384,85.0,0.3783622890630253,0.01857712474594476,-0.0077561536453828305,0.22371345094719902,active
51,BRT026c-31-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,99.6483,0.5726745315570783,0.015865770365469666,0.00099797609997875,1.0279068854377207,baseline
52,BRT026c-31-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.007964695028689257,99.6483,0.5726745315570783,0.015865770365469666,0.017156371380449897,0.19183840818706796,pupil
53,BRT026c-31-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.0033918100686418295,99.6483,0.5726745315570783,0.015865770365469666,-0.037835611416020744,0.0338483714537117,active
54,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.28117998000762523,0.036003020089574594,-0.008770930304994215,1.0402715291972666,baseline
55,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.00905834401333167,95.0,0.28117998000762523,0.036003020089574594,0.005637344694441832,-0.08847942364053439,pupil
56,BRT026c-29-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.004081724319106148,95.0,0.28117998000762523,0.036003020089574594,-0.032256488835493785,-0.14136484559423887,active
57,BRT026c-25-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.44156659679942434,0.017792440716582994,-0.000382340306327896,1.0280485280194323,baseline
58,BRT026c-25-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.029259235979317788,95.0,0.44156659679942434,0.017792440716582994,0.018971657545835054,0.015931907450707203,pupil
59,BRT026c-25-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.002866119302827155,95.0,0.44156659679942434,0.017792440716582994,-0.1712496300818423,-0.05926482432515381,active
60,BRT026c-20-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,78.0536,0.47619409892856696,0.023615852041395175,0.05465407550293918,1.0267074467775816,baseline
61,BRT026c-20-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.005613631211260924,78.0536,0.47619409892856696,0.023615852041395175,-0.0056819560166059884,0.08008409646637063,pupil
62,BRT026c-20-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.000290334211146554,78.0536,0.47619409892856696,0.023615852041395175,0.03730364555689158,0.0972093856437486,active
63,BRT026c-20-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,98.846,0.803299498699791,0.01918066849579583,-0.003633582377835532,1.0248606744136228,baseline
64,BRT026c-20-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.0020143461949948165,98.846,0.803299498699791,0.01918066849579583,-0.017445469121757116,0.05944996055997833,pupil
65,BRT026c-20-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0007549185732243727,98.846,0.803299498699791,0.01918066849579583,0.019326145084273907,0.2807731636313944,active
66,BRT026c-19-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.42920757544314264,0.017649368404894613,0.0050010103428005295,1.0413875602655165,baseline
67,BRT026c-19-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.0006807447931649137,95.0,0.42920757544314264,0.017649368404894613,-0.023459495515698654,0.026876672403645115,pupil
68,BRT026c-19-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0004242171117564031,95.0,0.42920757544314264,0.017649368404894613,-0.08400022992612925,-0.07127846853592114,active
69,BRT026c-18-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.31383354142289105,0.025132311134539728,0.19308061977161206,1.287330743409184,baseline
70,BRT026c-18-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.015699593977303142,95.0,0.31383354142289105,0.025132311134539728,0.5132997522478222,1.4882622071953977,pupil
71,BRT026c-18-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0017915844617375025,95.0,0.31383354142289105,0.025132311134539728,0.3002346562022729,0.023921331377145683,active
72,BRT026c-15-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,81.7882,0.5327695415678753,0.015583378540497215,2.2321252884238847,1.925639994789353,baseline
73,BRT026c-15-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.0011378348694156715,81.7882,0.5327695415678753,0.015583378540497215,2.0959126794916623,1.4187566205593187,pupil
74,BRT026c-15-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.00211687804997524,81.7882,0.5327695415678753,0.015583378540497215,0.41356116607301463,0.10848115142263723,active
75,BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,77.2994,0.8194833293367653,0.008126915145216962,6.188158236604708e-05,1.025331838324855,baseline
76,BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.005246712735300909,77.2994,0.8194833293367653,0.008126915145216962,-0.015163747924163825,0.03242895178420688,pupil
77,BRT026c-17-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,2.127982164393296e-05,77.2994,0.8194833293367653,0.008126915145216962,-0.003282702778780381,0.09199330938013747,active
78,BRT026c-16-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,85.0,0.9433635015790118,0.0021421544385450317,-0.0022117522213346394,1.013984361340913,baseline
79,BRT026c-16-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.005749838745301922,85.0,0.9433635015790118,0.0021421544385450317,-0.027213738906187217,-0.005865183393097186,pupil
80,BRT026c-16-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.00024016841437556326,85.0,0.9433635015790118,0.0021421544385450317,-0.020768183250014165,0.0051280399908765675,active
81,BRT026c-12-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.2701782774716291,0.03032666804053963,0.035282491658730084,1.8950293430303886,baseline
82,BRT026c-12-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,-0.04525141051957526,95.0,0.2701782774716291,0.03032666804053963,-1.5138253814142444,-2.564537585365878,pupil
83,BRT026c-12-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,0.006165518720305667,95.0,0.2701782774716291,0.03032666804053963,3.538233595725431,3.9370317766397362,active
84,BRT026c-11-2,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.32294539858909116,0.02521950900861558,0.0015304402619393345,1.0254209305068813,baseline
