,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
67,ley046g-30-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,-0.018678178042625074,0.37265562799840246,0.009923004243930486,-0.0006452177923035539,0.05231808319710977,PASSIVE_3
68,ley046g-47-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.3309914930783542,0.0213603515864163,1.695624291741455,1.0150110044619887,baseline
69,ley046g-47-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0009448779059977249,0.3309914930783542,0.0213603515864163,-0.03057618914804288,-0.03876584334239154,ACTIVE_1
70,ley046g-47-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.00012562434707391135,0.3309914930783542,0.0213603515864163,-0.0016817633640252559,-0.12785581430317788,PASSIVE_1
71,ley046g-47-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.03915888228150404,0.3309914930783542,0.0213603515864163,-0.042554189713286464,-0.08544861630427539,PASSIVE_2
72,ley046g-47-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.04229238723046234,0.3309914930783542,0.0213603515864163,0.005416286421304321,0.028152867944286016,ACTIVE_2
73,ley046g-47-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,-0.039308524433716664,0.3309914930783542,0.0213603515864163,-0.013093699637814055,0.09062591431414975,PASSIVE_3
74,ley046g-11-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.4776936179750318,0.021683444639516165,2.8501520596769394,1.007616754389929,baseline
75,ley046g-11-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0003026340099655225,0.4776936179750318,0.021683444639516165,-0.013285977792953147,-0.00013026440404784352,ACTIVE_1
76,ley046g-11-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00012764306221423895,0.4776936179750318,0.021683444639516165,-0.02938177939710892,-0.0687417179319865,PASSIVE_1
77,ley046g-11-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.03146665108010458,0.4776936179750318,0.021683444639516165,-0.033765241714520125,0.010321237830923105,PASSIVE_2
78,ley046g-11-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.030422679378687208,0.4776936179750318,0.021683444639516165,-0.005620369126192175,-0.020696167942981788,ACTIVE_2
79,ley046g-11-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,0.03116003307789804,0.4776936179750318,0.021683444639516165,0.011336680668594569,0.047400958797678,PASSIVE_3
80,ley046g-39-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.2644453252581485,0.0278695593582409,3.7874545118298997,1.0339386839821085,baseline
81,ley046g-39-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00015068542322905007,0.2644453252581485,0.0278695593582409,-0.027673619169829432,-0.11386805270065825,ACTIVE_1
82,ley046g-39-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0003200746393845039,0.2644453252581485,0.0278695593582409,-0.033184074868316926,0.06701008752126024,PASSIVE_1
83,ley046g-39-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.017344803874665075,0.2644453252581485,0.0278695593582409,-0.002081815546429787,-0.03850444476976071,PASSIVE_2
84,ley046g-39-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.017150274087393932,0.2644453252581485,0.0278695593582409,0.030689498494542063,0.02603339458868397,ACTIVE_2
85,ley046g-39-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,-0.01743628743807461,0.2644453252581485,0.0278695593582409,0.014342029747381167,-0.05020587349729043,PASSIVE_3
86,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7489471979348437,0.027490062983759875,3.207132118160188,0.9990587641151605,baseline
87,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0005462086345373641,0.7489471979348437,0.027490062983759875,-0.0035654613086038905,0.012150921360247178,ACTIVE_1
88,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00013487628784576366,0.7489471979348437,0.027490062983759875,-0.016759010261414523,-0.02211703272286219,PASSIVE_1
89,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.0019386823545642893,0.7489471979348437,0.027490062983759875,0.0076983579816599455,0.01651455631365371,PASSIVE_2
90,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.0013052131172474092,0.7489471979348437,0.027490062983759875,-0.005138594968902762,-0.013547843360563586,ACTIVE_2
91,ley046g-23-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_3,0.0017419465532032218,0.7489471979348437,0.027490062983759875,0.010773459859858165,0.016836835420562517,PASSIVE_3
92,TTL038b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.5020775122475366,0.03329547126659532,0.18001211144234613,1.0394263061837559,baseline
93,TTL038b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.003325944314095804,0.5020775122475366,0.03329547126659532,0.00020631819380470762,-0.06965458672616498,ACTIVE_1
94,TTL038d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9015819235704443,0.007998583512458265,0.027152212583430285,1.009133951742506,baseline
95,TTL038d-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0019598127073785876,0.9015819235704443,0.007998583512458265,0.011663261826701252,-0.019073643777028058,ACTIVE_0
96,ley049h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9280942195781108,0.0033282580012403266,0.7848430564897733,1.0022504562954686,baseline
97,ley049h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0005210415009631015,0.9280942195781108,0.0033282580012403266,-0.010080673902141445,0.006828444175392171,ACTIVE_0
98,ley049h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0006981845178711973,0.9280942195781108,0.0033282580012403266,-0.001684939662715075,-0.01613691076460515,ACTIVE_1
99,ley049h-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.00014940055109149763,0.9280942195781108,0.0033282580012403266,0.005942315725747086,-0.0004769341596523841,PASSIVE_1
100,ley042i-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6663146479551573,0.017942817464404952,1.3086452825391701,0.9909686918765651,baseline
101,ley042i-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0006901184036586044,0.6663146479551573,0.017942817464404952,-0.012450565328006643,0.01733813058408322,ACTIVE_1
102,ley042i-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,8.461937210769815e-05,0.6663146479551573,0.017942817464404952,0.00029292237982487206,0.011347012218960907,PASSIVE_1
103,ley042i-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,1.4847170341533583e-05,0.6663146479551573,0.017942817464404952,1.764217239544363e-05,-0.001986044984563929,ACTIVE_2
104,ley042i-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,7.677763460499765e-05,0.6663146479551573,0.017942817464404952,-0.0029505685507967973,0.017904318057946362,PASSIVE_2
105,ley046f-22-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.3433160444404374,0.03347833840316703,1.0084308122106094,0.9652387443976054,baseline
106,ley046f-22-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.004665556895808585,0.3433160444404374,0.03347833840316703,0.007112922546044868,0.09117337401709912,ACTIVE_1
107,ley046f-22-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-1.5966936940264904e-06,0.3433160444404374,0.03347833840316703,-0.02186383400767341,-0.1653853811555471,PASSIVE_1
108,ley046f-38-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.33467296275970243,0.032592803269179633,2.0235955967014077,0.9809440349284898,baseline
109,ley046f-38-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0007807574406861522,0.33467296275970243,0.032592803269179633,0.023772542112258405,0.037846142071920476,ACTIVE_1
110,ley046f-38-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,7.714420131279765e-05,0.33467296275970243,0.032592803269179633,0.011555567512356835,-0.040414895057844284,PASSIVE_1
111,ley041l-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7080639764619882,0.011924025248285095,4.404429797401492,1.002050616465482,baseline
112,ley041l-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-8.198619078978021e-05,0.7080639764619882,0.011924025248285095,-0.023104621505199714,-0.014145859902821939,ACTIVE_1
113,ley041l-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,5.434837240009283e-05,0.7080639764619882,0.011924025248285095,-0.01208705196712714,0.012533706256546947,PASSIVE_1
114,ley041l-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,-0.00014490227425448178,0.7080639764619882,0.011924025248285095,0.0011670767492213895,0.016329807516573966,PASSIVE_2
115,ley041l-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.004231627144787212,0.7080639764619882,0.011924025248285095,0.016678786038802216,-0.01971810081117801,ACTIVE_2
