"cellid","bestsnr","bestbf","PASSIVE_0_snr","PASSIVE_0_bf","PASSIVE_0","ACTIVE_1_snr","ACTIVE_1_bf","ACTIVE_1","ACTIVE_1_tf","ACTIVE_1_tardist","PASSIVE_1_snr","PASSIVE_1_bf","PASSIVE_1","ACTIVE_2_snr","ACTIVE_2_bf","ACTIVE_2","ACTIVE_2_tf","ACTIVE_2_tardist","PASSIVE_2_snr","PASSIVE_2_bf","PASSIVE_2","ACTIVE_3_snr","ACTIVE_3_bf","ACTIVE_3","ACTIVE_3_tf","ACTIVE_3_tardist","PASSIVE_3_snr","PASSIVE_3_bf","PASSIVE_3","ACTIVE_4_snr","ACTIVE_4_bf","ACTIVE_4","ACTIVE_4_tf","ACTIVE_4_tardist","PASSIVE_4_snr","PASSIVE_4_bf","PASSIVE_4","ACTIVE_0_snr","ACTIVE_0_bf","ACTIVE_0","ACTIVE_0_tf","ACTIVE_0_tardist",
"ley046g-30-1",0.27968,21773,0.075645,617,"ley046g01_p_PTD.m",0.11064,8520,"ley046g02_a_PTD.m",5100,2.094,0.084332,1958,"ley046g03_p_PTD.m",0.27968,21773,"ley046g06_a_PTD.m",12000,0.85951,-0.14518,24184,"ley046g05_p_PTD.m",,,,,,0.065827,5757,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-31-1",0.4395,27819,0.20436,12092,"ley046g01_p_PTD.m",0.031716,536,"ley046g02_a_PTD.m",5100,2.4475,0.32975,13909,"ley046g03_p_PTD.m",0.22493,27819,"ley046g06_a_PTD.m",12000,1.213,0.4395,27819,"ley046g05_p_PTD.m",,,,,,0.30563,27819,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-31-2",0.2553,5219,0.1293,9801,"ley046g01_p_PTD.m",0.19707,2100,"ley046g02_a_PTD.m",5100,0.033276,0.2553,5219,"ley046g03_p_PTD.m",0.14927,14304,"ley046g06_a_PTD.m",12000,-1.2012,0.23198,9075,"ley046g05_p_PTD.m",,,,,,0.015083,13337,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-36-1",0.27587,22548,0.16713,4866,"ley046g01_p_PTD.m",0.063085,3311,"ley046g02_a_PTD.m",5100,2.1444,0.06593,710,"ley046g03_p_PTD.m",0.2209,1576,"ley046g06_a_PTD.m",12000,0.90997,0.1191,5962,"ley046g05_p_PTD.m",,,,,,0.27587,22548,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-37-1",0.17804,1000,0.040381,8520,"ley046g01_p_PTD.m",0.17449,1287,"ley046g02_a_PTD.m",5100,-2.3505,-0.013948,4230,"ley046g03_p_PTD.m",0.086449,1419,"ley046g06_a_PTD.m",12000,-3.585,0.17804,1000,"ley046g05_p_PTD.m",,,,,,0.080145,1000,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-39-1",0.31176,5405,0.17923,1242,"ley046g01_p_PTD.m",0.099315,4381,"ley046g02_a_PTD.m",5100,0.083797,0.31176,5405,"ley046g03_p_PTD.m",0.042487,27819,"ley046g06_a_PTD.m",12000,-1.1507,0.20273,1150,"ley046g05_p_PTD.m",,,,,,0.032179,12878,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-39-2",0.19738,5598,0.02675,7671,"ley046g01_p_PTD.m",-0.062526,9464,"ley046g02_a_PTD.m",5100,0.13441,0.19738,5598,"ley046g03_p_PTD.m",-0.10992,4832,"ley046g06_a_PTD.m",12000,-1.1001,0.09647,10079,"ley046g05_p_PTD.m",,,,,,0.10134,2573,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-47-1",0.1243,3087,0.11379,1703,"ley046g01_p_PTD.m",0.1243,3087,"ley046g02_a_PTD.m",5100,-0.72429,0.11323,2684,"ley046g03_p_PTD.m",0.04894,9733,"ley046g06_a_PTD.m",12000,-1.9588,0.017345,1323,"ley046g05_p_PTD.m",,,,,,-0.033614,1419,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-53-1",0.23147,3944,0.23147,3944,"ley046g01_p_PTD.m",0.11571,4699,"ley046g02_a_PTD.m",5100,-0.37084,0.15819,1007,"ley046g03_p_PTD.m",0.022313,24184,"ley046g06_a_PTD.m",12000,-1.6053,0.064526,1419,"ley046g05_p_PTD.m",,,,,,-0.057849,10438,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-57-1",0.26007,2028,0.26007,2028,"ley046g01_p_PTD.m",0.061312,14405,"ley046g02_a_PTD.m",5100,-1.3304,0.1435,7407,"ley046g03_p_PTD.m",0.024193,2573,"ley046g06_a_PTD.m",12000,-2.5649,0.071962,1191,"ley046g05_p_PTD.m",,,,,,-0.005219,11196,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley046g-59-1",0.30632,1080,0.077469,1333,"ley046g01_p_PTD.m",0.20135,8227,"ley046g02_a_PTD.m",5100,-2.2395,0.30632,1080,"ley046g03_p_PTD.m",0.1145,20300,"ley046g06_a_PTD.m",12000,-3.4739,0.17568,5757,"ley046g05_p_PTD.m",,,,,,0.068881,1323,"ley046g07_p_PTD.m",,,,,,,,,,,,,,
"ley049h-a1",17.8478,26862,13.3587,26862,"ley049h06_p_PTD",0.96005,1000,"ley049h07_a_PTD",11000,1.2881,17.8478,26862,"ley049h08_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,6.8214,26862,"ley049h05_a_PTD",27000,-0.0073927,
"ley049h-a2",8.4272,26862,1.0345,1036,"ley049h06_p_PTD",8.4272,26862,"ley049h07_a_PTD",11000,1.2881,1.0961,25938,"ley049h08_p_PTD",,,,,,,,,,,,,,,,,,,,,,,,,0.86601,25045,"ley049h05_a_PTD",27000,-0.0073927,
